highway,date,origin_city,destination_city,rainfall_mm,temp_c,disruption,event_type
NH-44,2024-01-15,Delhi,Nagpur,85.2,28,1,landslide
NH-44,2024-01-16,Nagpur,Hyderabad,12.0,31,0,clear
NH-44,2024-02-10,Hyderabad,Chennai,90.5,27,1,monsoon
NH-44,2024-03-05,Chennai,Bangalore,5.0,33,0,clear
NH-44,2024-04-20,Delhi,Nagpur,0.0,38,0,clear
NH-44,2024-05-15,Nagpur,Hyderabad,110.3,26,1,monsoon
NH-44,2024-06-01,Hyderabad,Chennai,95.0,25,1,flood
NH-44,2024-06-15,Chennai,Bangalore,88.0,26,1,monsoon
NH-44,2024-07-10,Delhi,Nagpur,120.5,24,1,flood
NH-44,2024-07-25,Nagpur,Hyderabad,75.0,27,1,monsoon
NH-44,2024-08-10,Hyderabad,Chennai,60.0,28,1,monsoon
NH-44,2024-08-25,Chennai,Bangalore,40.0,30,0,clear
NH-44,2024-09-10,Bangalore,Hyderabad,55.0,29,0,clear
NH-44,2024-10-01,Hyderabad,Chennai,20.0,31,0,clear
NH-44,2024-11-05,Chennai,Bangalore,150.0,24,1,cyclone
NH-44,2024-11-20,Bangalore,Hyderabad,130.0,25,1,flood
NH-44,2024-12-10,Hyderabad,Chennai,10.0,28,0,clear
NH-44,2024-12-25,Chennai,Bangalore,5.0,29,0,clear
NH-48,2024-01-15,Delhi,Mumbai,10.0,29,0,clear
NH-48,2024-02-10,Mumbai,Pune,15.0,30,0,clear
NH-48,2024-03-05,Pune,Bangalore,0.0,35,0,clear
NH-48,2024-04-20,Bangalore,Chennai,5.0,36,0,clear
NH-48,2024-05-15,Delhi,Mumbai,45.0,30,0,clear
NH-48,2024-06-01,Mumbai,Pune,80.0,27,1,monsoon
NH-48,2024-06-15,Pune,Bangalore,70.0,28,1,monsoon
NH-48,2024-07-10,Bangalore,Chennai,60.0,29,0,clear
NH-48,2024-07-25,Delhi,Mumbai,55.0,30,0,clear
NH-48,2024-08-10,Mumbai,Pune,90.0,26,1,monsoon
NH-48,2024-09-05,Pune,Bangalore,40.0,28,0,clear
